kks_name chn_name flag
N3BKYYQCY,N3AKYYQCY 空预器出入口烟气差压 1
3DCS.30LBB20CP101,3DCS.30LBB20CP102,3DCS.30LBB20CP103 再热蒸汽压力 2
3DCS.30LBC20CP102 高压排汽总管蒸汽压力锅炉侧 0
3DCS.32HLA41CP103,3DCS.32HLA41CP104 锅炉B侧二次风箱与炉膛差压 1
3DCS.30LAB11CP101 末级过热器出口压力 0
3DCS.32HLA42CP101,3DCS.32HLA42CP102,3DCS.32HLA41CP101,3DCS.32HLA41CP102 空预器出口风压 3
3DCS.30HAD20CT602 螺旋管出口金属温度后墙
