name,min,max
4DCS.40HFC16CP102,0.00,5.00
4DCS.40HFC16CP103,0.00,5.00
4DCS.40HFC16CP104,0.00,5.00
4DCS.40HFC16CP105,0.00,5.00
4DCS.40HFC16AJ001_LP,0.00,1.00
4DCS.40HFE10CP101,0.00,11.00
4DCS.40HFE10CP102,0.00,11.00
4DCS.40HFE10CP109,0.00,11.00
4DCS.40HYA00DU001OUT,0.00,70.00
4DCS.40HLA45AA100AI,0.00,100.00
4DCS.40HLA55AA100AI,0.00,100.00
4DCS.40HLA45CF101AF,0.00,160.00
4DCS.40HLA45CF101BF,0.00,160.00
4DCS.40HLA55CF101AF,0.00,160.00
4DCS.40HLA55CF101BF,0.00,160.00
4DCS.40HLA10CP101,-2.04,1.00
4DCS.40HLA46AA100AI,0.00,100.00
4DCS.40HLA56AA100AI,0.00,100.00
4DCS.40HLA46CF101AF,0.00,160.00
4DCS.40HLA46CF101BF,0.00,160.00
4DCS.40HLA56CF101AF,0.00,160.00
4DCS.40HLA56CF101BF,0.00,160.00
4DCS.40HLA20CP101,-2.04,1.00
4DCS.40HLA76AA001_LP,0.00,100.00
4DCS.40HLA76AA002_LP,0.00,100.00
4DCS.40HLA47AA100AI,0.00,100.00
4DCS.40HLA57AA100AI,0.00,100.00
4DCS.40HLA47CF101AF,0.00,160.00
4DCS.40HLA47CF101BF,0.00,160.00
4DCS.40HLA57CF101AF,0.00,160.00
4DCS.40HLA57CF101BF,0.00,160.00
4DCS.40HLA50CP101A,-2.04,1.00
4DCS.40HLA77AA001_LP,0.00,100.00
4DCS.40HLA77AA002_LP,0.00,100.00
4DCS.40HLA48AA100AI,0.00,100.00
4DCS.40HLA58AA100AI,0.00,100.00
4DCS.40HLA44AA100AI,0.00,100.00
4DCS.40HLA54AA100AI,0.00,100.00
4DCS.40HLA80CP101,-2.04,1.00
4DCS.40HLA70CP101,-2.04,1.00
4DCS.40HLA48CF101AF,0.00,170.00
4DCS.40HLA48CF101BF,0.00,170.00
4DCS.40HLA58CF101AF,0.00,170.00
4DCS.40HLA58CF101BF,0.00,170.00
4DCS.40HLA44CF101AF,0.00,170.00
4DCS.40HLA44CF101BF,0.00,170.00
4DCS.40HLA54CF101AF,0.00,170.00
4DCS.40HLA54CF101BF,0.00,170.00
4DCS.40HLA43AA100AI,0.00,100.00
4DCS.40HLA53AA100AI,0.00,100.00
4DCS.40HLA43CF101AF,0.00,170.00
4DCS.40HLA43CF101BF,0.00,170.00
4DCS.40HLA53CF101AF,0.00,170.00
4DCS.40HLA53CF101BF,0.00,170.00
4DCS.40HLA60CP101,-2.04,1.00
4DCS.40HLA73AA001_LP,0.00,100.00
4DCS.40HLA73AA002_LP,0.00,100.00
4DCS.40HLA42AA100AI,0.00,100.00
4DCS.40HLA52AA100AI,0.00,100.00
4DCS.40HLA42CF101AF,0.00,170.00
4DCS.40HLA42CF101BF,0.00,170.00
4DCS.40HLA52CF101AF,0.00,170.00
4DCS.40HLA52CF101BF,0.00,170.00
4DCS.40HLA30CP101,-2.04,1.00
4DCS.40HLA72AA001_LP,0.00,100.00
4DCS.40HLA72AA002_LP,0.00,100.00
4DCS.40HLA41AA100AI,0.00,100.00
4DCS.40HLA51AA100AI,0.00,100.00
4DCS.40HLA41CF101AF,0.00,170.00
4DCS.40HLA41CF101BF,0.00,170.00
4DCS.40HLA51CF101AF,0.00,170.00
4DCS.40HLA51CF101BF,0.00,170.00
4DCS.40HLA40CP101,-2.04,1.00
4DCS.40HLA71AA001_LP,0.00,100.00
4DCS.40HLA71AA002_LP,0.00,100.00
4DCS.40QFB20CP101,0.50,0.80
4DCS.42HLA41CP103,0.00,1.80
4DCS.42HLA41CP104,0.00,1.80
4DCS.42HLA42CP103,0.00,1.80
4DCS.42HLA42CP104,0.00,1.80
4DCS.40LAC10CP101,0.00,30.00
4DCS.40LAC10CP102,0.00,30.00
4DCS.40LAC10CT301,0.00,350.00
4DCS.40LAC10CT302,0.00,350.00
4DCS.40LAC10CT303,0.00,350.00
4DCS.40LAC10CT304,0.00,350.00
