name min max flag
4DCS.40HBK70CP109 -500 500 drop
4DCS.42HLB11AN001CE,4DCS.42HLB12AN801CE,4DCS.40HNC12AN001CE,4DCS.40HNC11AN001CE,4DCS.41HLB12AN001CE,4DCS.41HLB11AN001CE 10  fill
